N.º;Driver;Driver_Mayus;Nationality;DOB
1; Victor Martins; VICTOR MARTINS;FRENCH;16/6/2001
2; Zak O'Sullivan; ZAK O'SULLIVAN;BRITISH;6/2/2005
3; Oliver Bearman; OLIVER BEARMAN;BRITISH;8/5/2005
4; Andrea Kimi Antonelli; ANDREA KIMI ANTONELLI;ITALIAN;25/8/2006
5; Zane Maloney; ZANE MALONEY;BARBADIAN;2/10/2003
6; Ritomo Miyata; RITOMO MIYATA;JAPANESE;10/8/1999
7; Jak Crawford; JAK CRAWFORD;AMERICAN;2/5/2005
8; Juan Manuel Correa; JUAN MANUEL CORREA;AMERICAN;9/8/1999
9; Kush Maini; KUSH MAINI;INDIAN;22/9/2000
10; Gabriel Bortoleto; GABRIEL BORTOLETO;BRAZILIAN;14/10/2004
11; Dennis Hauger; DENNIS HAUGER;NORWEGIAN;17/3/2003
12; Franco Colapinto; FRANCO COLAPINTO;ARGENTINIAN;27/5/2003
14; Enzo Fittipaldi; ENZO FITTIPALDI;BRAZILIAN;18/7/2001
15; Rafael Villagómez; RAFAEL VILLAGÓMEZ;MEXICAN;10/11/2001
16; Amaury Cordeel; AMAURY CORDEEL;BELGIAN;9/7/2002
17; Paul Aron; PAUL ARON;ESTONIAN;4/2/2004
20; Isack Hadjar; ISACK HADJAR;FRENCH;28/9/2004
21; Pepe Martí; PEPE MARTÍ;SPANISH;13/6/2005
22; Richard Verschoor; RICHARD VERSCHOOR;DUTCH;16/12/2000
23; Roman Stan?k; ROMAN STAN?K;CZECH;25/2/2004
24; Joshua Dürksen; JOSHUA DÜRKSEN;PARAGUAYAN;27/10/2003
25; Taylor Barnard; TAYLOR BARNARD;BRITISH;1/6/2004
