Teams;Country;N.º;Driver
ART Grand Prix;FRANCE;1; Victor Martins
ART Grand Prix;FRANCE;2; Zak O'Sullivan
PREMA Racing;ITALY;3; Oliver Bearman
PREMA Racing;ITALY;4; Andrea Kimi Antonelli
Rodin Motorsport;NEW ZEALAND;5; Zane Maloney
Rodin Motorsport;NEW ZEALAND;6; Ritomo Miyata
DAMS Lucas Oil;FRANCE;7; Jak Crawford
DAMS Lucas Oil;FRANCE;8; Juan Manuel Correa
Invicta Racing;GREAT BRITAIN;9; Kush Maini
Invicta Racing;GREAT BRITAIN;10; Gabriel Bortoleto
MP Motorsport;NETHERLANDS;11; Dennis Hauger
MP Motorsport;NETHERLANDS;12; Franco Colapinto
Van Amersfoort Racing;NETHERLANDS;14; Enzo Fittipaldi
Van Amersfoort Racing;NETHERLANDS;15; Rafael Villagómez
Hitech Pulse-Eight;GREAT BRITAIN;16; Amaury Cordeel
Hitech Pulse-Eight;GREAT BRITAIN;17; Paul Aron
Campos Racing;SPAIN;20; Isack Hadjar
Campos Racing;SPAIN;21; Pepe Martí
Trident;ITALY;22; Richard Verschoor
Trident;ITALY;23; Roman Stan?k
AIX Racing;GERMANY;24; Joshua Dürksen
AIX Racing;GERMANY;25; Taylor Barnard
